id,nombre,maximo
1,Bombilla de 100W (incandescente),100
2,Televisor LED de 22 pulgadas,17
3,Televisión en color de 25,150
4,Lijadora de banda de 3,1000
5,TV LED de 32 pulgadas,60
6,Televisor LED de 42 pulgadas,60
7,Televisor LED de 46 pulgadas,70
8,Televisor LED de 49 pulgadas,85
9,Televisor LED de 55 pulgadas,116
10,Bombilla de luz de 60W (incandescente),60
11,Televisor LED de 65 pulgadas,130
12,TV LED de 82 pulgadas,295
13,Lijadora de disco de 9,1200
14,Aire acondicionado,80
15,Freidora,1500
16,Purificador de aire,30
17,Amazon Echo,3
18,Amazon Echo Dot,3
19,Amazon Echo Show,4
20,Frigorífico-congelador estilo americano,80
21,Apple TV,6
22,Bomba de acuario,50
23,Receptor AV,450
24,Calentador de toallas de baño,150
25,Ventilador de techo,70
26,Chromebook,45
27,Chromecast,2
28,Radio despertador,2
29,Secadora de ropa,4000
30,Cafetera,1400
31,Monitor de computadora,30
32,Campana,30
33,Taladro con cable,850
34,Soplador de hojas de mano eléctrico con cable,2500
35,Cargador de taladro inalámbrico,150
36,Hierro que se encrespa,35
37,Radio de red DAB,9
38,Congelador profundo,19
39,Deshumidificador,240
40,Computadora de escritorio,450
41,Lavaplatos,1500
42,Bomba de agua doméstica,300
43,Reproductor de DVD,60
44,Manta eléctrica,200
45,Caldera electrica,14000
46,Transformador de timbre eléctrico,2
47,Ventilador calefactor eléctrico,3000
48,Hervidor eléctrico,3000
49,Cortacésped eléctrico,1500
50,Olla a presión eléctrica,1000
51,Afeitadora eléctrica,20
52,Estufa eléctrica,2000
53,Calentador de agua eléctrico sin tanque,8800
54,Radiador térmico eléctrico,500
55,Máquina de café expreso,1500
56,Cargador de coche EV,7000
57,Cargador de casa para vehículos eléctricos,3400
58,Acondicionador de aire evaporativo,2600
59,Ventilador extractor,12
60,Lámpara fluorescente,45
61,Licuadora,400
62,Deshidratador de alimentos,800
63,Congelador,50
64,Nevera,220
65,Nevera-congelador,400
66,Freidora,1000
67,Consola de juego,200
68,PC para juegos,600
69,Abridor de puerta de garage,400
70,Google Home Mini,15
71,Amplificador de guitarra,30
72,Secador de pelo,2500
73,Calentador de agua para lavar a mano,3000
74,Espejo de baño calefactado,100
75,Rodillos de pelo con calefacción,400
76,Acondicionador de aire casero,4000
77,Enrutador de Internet doméstico,15
78,Teléfono de casa,5
79,Sistema de sonido para el hogar,95
80,Dispensador de agua caliente,1300
81,Calentador de inmersión en agua caliente,3000
82,Humidificador,40
83,iMac,240
84,Placa de inducción (por placa),1800
85,Impresora de inyección de tinta,30
86,Acondicionador de aire inverter,1800
87,Hierro,1000
88,Ventilador extractor de cocina,200
89,Ordenador portátil,100
90,Impresora laser,800
91,Cortacésped,1400
92,Luces de Navidad LED,5
93,Bombilla de luz LED,10
94,Mi caja,7
95,Microonda,1700
96,Luz de noche,1
97,Adaptador de corriente alterna de Nintendo Switch,40
98,Jacuzzi al aire libre,500
99,Horno,2150
100,Trituradora de papel,220
101,Ventilador de pedestal,60
102,Percolador,1100
103,Bombilla inteligente Philips Hue,9
104,Cargador de teléfono,7
105,Playstation 4,90
106,PlayStation 5,200
107,Ducha Energetica,10500
108,Olla a presión,700
109,Proyector,270
110,Refrigerador,200
111,Olla arrocera,800
112,Sandwichera,1000
113,Escáner,18
114,Fijar la caja de encima,30
115,Máquina de coser,80
116,Máquina de coser Singer,100
117,Caja Sky Q 2TB,40
118,Olla de cocción lenta,180
119,Calentador,5000
120,Plancha de vapor,2500
121,Esterilizador,650
122,Plancha alisadora,300
123,Strimmer,500
124,Bomba de agua sumergible,400
125,Ventilador de mesa,25
126,Refrigerador de sobremesa,15
127,Cargador de tableta,15
128,Tableta,10
129,Tostadora,1800
130,Ventilador de torre,60
131,Rueda de andar,900
132,Tubo de luz (1500 mm),22
133,"TV (19 ""en color)",100
134,Aspiradora,900
135,Ventilador de pared,60
136,Lavadora,500
137,Dispensador de agua,100
138,Fuente de agua,35
139,Filtro de agua y enfriador,100
140,Amplificador de WiFi,2
141,Router de wifi,10
142,Vinoteca (18 botellas),83
143,Xbox One,110
